,pid,uniqid,birthdate,sexLabel,sexURI
0,uid_000001,20210923104722120620,1974-12-05,Female,http://purl.obolibrary.org/obo/NCIT_C16576
1,uid_000002,20210923104722120708,1985-05-23,Female,http://purl.obolibrary.org/obo/NCIT_C16576
2,uid_000003,20210923104722120730,1980-05-08,Female,http://purl.obolibrary.org/obo/NCIT_C16576
3,uid_000004,20210923104722120747,1994-05-06,Male,http://purl.obolibrary.org/obo/NCIT_C20197
4,uid_000005,20210923104722120763,1998-06-06,Male,http://purl.obolibrary.org/obo/NCIT_C20197
5,uid_000006,20210923104722120779,1979-03-05,Female,http://purl.obolibrary.org/obo/NCIT_C16576
6,uid_000007,20210923104722120796,1991-02-12,Female,http://purl.obolibrary.org/obo/NCIT_C16576
7,uid_000008,20210923104722120812,1995-06-08,Male,http://purl.obolibrary.org/obo/NCIT_C20197
8,uid_000009,20210923104722120828,1998-05-30,Female,http://purl.obolibrary.org/obo/NCIT_C16576
9,uid_000010,20210923104722120844,1996-08-07,Male,http://purl.obolibrary.org/obo/NCIT_C20197
10,uid_000011,20210923104722120860,1979-04-06,Male,http://purl.obolibrary.org/obo/NCIT_C20197
11,uid_000012,20210923104722120875,1990-05-03,Male,http://purl.obolibrary.org/obo/NCIT_C20197
12,uid_000013,20210923104722120891,1994-05-09,Undeterminated,http://purl.obolibrary.org/obo/NCIT_C124294
13,uid_000014,20210923104722120907,1997-05-07,Female,http://purl.obolibrary.org/obo/NCIT_C16576
14,uid_000015,20210923104722120923,1989-12-12,Male,http://purl.obolibrary.org/obo/NCIT_C20197
15,uid_000016,20210923104722120939,1997-02-18,Female,http://purl.obolibrary.org/obo/NCIT_C16576
16,uid_000017,20210923104722120955,1988-04-17,Male,http://purl.obolibrary.org/obo/NCIT_C20197
17,uid_000018,20210923104722120971,1999-06-29,Male,http://purl.obolibrary.org/obo/NCIT_C20197
18,uid_000019,20210923104722121003,1999-05-17,Male,http://purl.obolibrary.org/obo/NCIT_C20197
19,uid_000020,20210923104722121030,1998-05-05,Female,http://purl.obolibrary.org/obo/NCIT_C16576
